iter	RMSE
0	30.60016905
1	29.64772152
2	28.80239234
3	27.95120236
4	27.03249869
5	26.19057412
6	25.35905296
7	24.569539
8	23.82013644
9	23.09087271
10	22.4556261
11	21.80433704
12	21.19237992
13	20.57297276
14	19.93984042
15	19.36778585
16	18.79968877
17	18.25385337
18	17.73017371
19	17.22945051
20	16.74795842
21	16.27449766
22	15.83296954
23	15.39580615
24	14.96576646
25	14.56399856
26	14.13548067
27	13.78086116
28	13.41049113
29	13.02297889
30	12.66430386
31	12.33528619
32	12.03603784
33	11.71740555
34	11.41805704
35	11.13806718
36	10.86933711
37	10.60003695
38	10.35046448
39	10.09445951
40	9.850796536
41	9.597998736
42	9.372077626
43	9.146634405
44	8.935009652
45	8.723120356
46	8.520036287
47	8.317673013
48	8.153646396
49	7.98097248
50	7.795359173
51	7.635156032
52	7.464322332
53	7.292688858
54	7.148478246
55	6.983788339
56	6.848914194
57	6.705545184
58	6.545802039
59	6.417044523
60	6.289250044
61	6.145770966
62	6.012255396
63	5.886330262
64	5.767431126
65	5.635957263
66	5.528998023
67	5.423476275
68	5.315688219
69	5.211026337
70	5.107131919
71	5.005719283
72	4.907141473
73	4.816918734
74	4.721078252
75	4.64307074
76	4.554489818
77	4.470275374
78	4.384440194
79	4.305989086
80	4.235210628
81	4.160114009
82	4.086005987
83	4.007161483
84	3.938844394
85	3.868145421
86	3.802066592
87	3.727859139
88	3.670358246
89	3.609625725
90	3.552880544
91	3.494507389
92	3.444831495
93	3.387356762
94	3.338494297
95	3.286533019
96	3.235301433
97	3.176030996
98	3.132514015
99	3.086824812
100	3.044437511
101	2.998946643
102	2.9558788
103	2.915166554
104	2.873968384
105	2.833273778
106	2.794998686
107	2.75962353
108	2.719390319
109	2.687757062
110	2.64664863
111	2.611374497
112	2.580745922
113	2.545386912
114	2.508343286
115	2.479615783
116	2.456116337
117	2.432264869
118	2.404689791
119	2.370633808
120	2.339110853
121	2.314428601
122	2.286090251
123	2.258193886
124	2.234817199
125	2.207750135
126	2.18801942
127	2.159984874
128	2.133623231
129	2.111726084
130	2.08908432
131	2.066774622
132	2.052597811
133	2.028581666
134	2.005974429
135	1.984601139
136	1.963101128
137	1.946712648
138	1.93359671
139	1.911980083
140	1.892833426
141	1.8711195
142	1.859278901
143	1.842907557
144	1.825868049
145	1.810318384
146	1.792374355
147	1.777728448
148	1.765056338
149	1.75183073
150	1.741462702
151	1.725709138
152	1.711591487
153	1.701484061
154	1.689519439
155	1.675904919
156	1.660581411
157	1.649117079
158	1.642190379
159	1.630812306
160	1.620672287
161	1.606309236
162	1.59409879
163	1.582270865
164	1.570082765
165	1.560864762
166	1.547795219
167	1.536620261
168	1.526878889
169	1.513945534
170	1.503881682
171	1.495244798
172	1.483873035
173	1.479514897
174	1.470847424
175	1.461497943
176	1.452286945
177	1.445178767
178	1.434657345
179	1.426509521
180	1.422383441
181	1.416773244
182	1.407106822
183	1.399549186
184	1.389733242
185	1.383035753
186	1.377969929
187	1.371187986
188	1.363635057
189	1.356234698
190	1.351385828
191	1.344357254
192	1.338367699
193	1.332259565
194	1.329524974
195	1.324208392
196	1.321575663
197	1.318449516
198	1.308859877
199	1.29982294
200	1.297240204
201	1.294725876
202	1.286213923
203	1.279861566
204	1.274546639
205	1.269677503
206	1.260320795
207	1.255586291
208	1.25321373
209	1.249448857
210	1.247091423
211	1.244863101
212	1.241730278
213	1.238734476
214	1.236755998
215	1.234481008
216	1.231467042
217	1.228905748
218	1.226000564
219	1.222615579
220	1.215698074
221	1.213529662
222	1.210236344
223	1.206173355
224	1.198509174
225	1.19223177
226	1.190023254
227	1.188346633
228	1.180382057
229	1.173728396
230	1.167704772
231	1.166339344
232	1.162632026
233	1.161048965
234	1.158972735
235	1.151825212
236	1.150533257
237	1.149239479
238	1.147991738
239	1.141134307
240	1.139637558
241	1.134419696
242	1.130410385
243	1.126123468
